text,label
Bangladesh currency is Dollar,0
Dhaka is inside ocean,0
Cricket is banned in Bangladesh,0
Bangladesh exports garments worldwide,1
Dhaka is the capital of Bangladesh,1
Cricket is very popular in Bangladesh,1
Bangladesh currency is Dollar,0
Padma Bridge connects regions of Bangladesh,1
Bangladesh has no rivers,0
Cows fly in Bangladesh,0
Dhaka is inside ocean,0
Rice grows only in sky,0
Rice grows only in sky,0
Cricket is very popular in Bangladesh,1
Bangladesh exports garments worldwide,1
Cox's Bazar has a long sea beach,1
Dhaka is inside ocean,0
Bangladesh has 40 moons,0
Padma Bridge connects regions of Bangladesh,1
Padma Bridge was built by aliens,0
Sundarbans is on Mars,0
Bangladesh has 74 moons,0
Rice grows only in sky,0
Bangladesh currency is Dollar,0
Padma Bridge was built by aliens,0
Bangladesh has 97 divisions,1
Bangladesh currency is Dollar,0
Bangladesh has 63 divisions,1
Bangladesh has no rivers,0
Padma Bridge connects regions of Bangladesh,1
Rice is the main food of Bangladesh,1
Rice grows only in sky,0
Dhaka is inside ocean,0
Bangladesh has 68 divisions,1
Cricket is banned in Bangladesh,0
Humans live underwater in Bangladesh,0
Dhaka is inside ocean,0
Bangladesh has 79 moons,0
Cox's Bazar has a long sea beach,1
Jute is an important crop in Bangladesh,1
Cricket is banned in Bangladesh,0
Bangladesh has 95 moons,0
Bangladesh has 85 divisions,1
Bangladesh has 59 divisions,1
Bangladesh has many rivers,1
Jute is an important crop in Bangladesh,1
Cricket is very popular in Bangladesh,1
Bangladesh has many rivers,1
Cricket is very popular in Bangladesh,1
The Sundarbans is the largest mangrove forest,1
Padma Bridge connects regions of Bangladesh,1
Sundarbans is on Mars,0
Bangladesh exports garments worldwide,1
Dhaka is the capital of Bangladesh,1
Jute is an important crop in Bangladesh,1
Humans live underwater in Bangladesh,0
Bangladesh has no rivers,0
The Sundarbans is the largest mangrove forest,1
Jute is an important crop in Bangladesh,1
Bangladesh exports garments worldwide,1
Humans live underwater in Bangladesh,0
